<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GDAX.BTC-USD,1,02/11/18,01:03,6348.0100000,6349.8900000,6348.0000000,6349.1100000,8
GDAX.BTC-USD,1,02/11/18,01:04,6349.1100000,6349.1100000,6349.1000000,6349.1100000,2
GDAX.BTC-USD,1,02/11/18,01:05,6349.1100000,6349.1100000,6348.0000000,6348.0000000,2
GDAX.BTC-USD,1,02/11/18,01:06,6348.0100000,6348.0100000,6348.0000000,6348.0100000,1
GDAX.BTC-USD,1,02/11/18,01:07,6348.0100000,6348.0100000,6348.0000000,6348.0000000,0
GDAX.BTC-USD,1,02/11/18,01:08,6348.0100000,6348.0100000,6348.0000000,6348.0100000,2
GDAX.BTC-USD,1,02/11/18,01:09,6348.0100000,6348.0100000,6348.0000000,6348.0100000,1
GDAX.BTC-USD,1,02/11/18,01:10,6348.0100000,6348.0100000,6348.0000000,6348.0100000,2
GDAX.BTC-USD,1,02/11/18,01:11,6348.0100000,6348.0100000,6348.0000000,6348.0100000,1
GDAX.BTC-USD,1,02/11/18,01:12,6348.0100000,6348.0100000,6347.0000000,6347.0100000,5
GDAX.BTC-USD,1,02/11/18,01:13,6347.0100000,6347.0100000,6341.0000000,6341.0100000,4
GDAX.BTC-USD,1,02/11/18,01:14,6341.0000000,6341.0100000,6340.0000000,6340.0100000,1
GDAX.BTC-USD,1,02/11/18,01:15,6340.0100000,6340.0100000,6340.0000000,6340.0100000,1
GDAX.BTC-USD,1,02/11/18,01:16,6340.0100000,6340.0100000,6340.0000000,6340.0100000,4
GDAX.BTC-USD,1,02/11/18,01:17,6340.0100000,6340.0100000,6340.0000000,6340.0100000,4
GDAX.BTC-USD,1,02/11/18,01:18,6340.0100000,6340.0200000,6340.0000000,6340.0100000,3
GDAX.BTC-USD,1,02/11/18,01:19,6340.0100000,6342.5700000,6340.0100000,6342.5700000,4
GDAX.BTC-USD,1,02/11/18,01:20,6342.5600000,6342.5700000,6342.5600000,6342.5700000,1
GDAX.BTC-USD,1,02/11/18,01:21,6342.5700000,6342.5700000,6340.5900000,6341.7400000,3
GDAX.BTC-USD,1,02/11/18,01:22,6341.7400000,6341.7400000,6341.7300000,6341.7400000,1
GDAX.BTC-USD,1,02/11/18,01:23,6341.7300000,6341.7400000,6338.9000000,6338.9800000,20
GDAX.BTC-USD,1,02/11/18,01:24,6339.7300000,6339.7800000,6339.7300000,6339.7800000,3
GDAX.BTC-USD,1,02/11/18,01:25,6339.7800000,6341.0600000,6339.7700000,6340.1700000,5
GDAX.BTC-USD,1,02/11/18,01:26,6340.3300000,6340.3300000,6340.1700000,6340.1800000,4
GDAX.BTC-USD,1,02/11/18,01:27,6340.1800000,6340.1800000,6339.7900000,6339.7900000,4
GDAX.BTC-USD,1,02/11/18,01:28,6339.7900000,6339.7900000,6338.9000000,6338.9100000,1
GDAX.BTC-USD,1,02/11/18,01:29,6338.9000000,6338.9100000,6338.1300000,6338.1300000,2
GDAX.BTC-USD,1,02/11/18,01:30,6338.1300000,6338.1400000,6338.1300000,6338.1400000,2
GDAX.BTC-USD,1,02/11/18,01:31,6338.1400000,6338.1400000,6338.1300000,6338.1400000,1
GDAX.BTC-USD,1,02/11/18,01:32,6338.1400000,6338.1400000,6338.1300000,6338.1400000,3
GDAX.BTC-USD,1,02/11/18,01:33,6338.1400000,6338.1400000,6338.1300000,6338.1400000,1
GDAX.BTC-USD,1,02/11/18,01:34,6338.1400000,6338.1400000,6338.1300000,6338.1300000,7
GDAX.BTC-USD,1,02/11/18,01:35,6338.1400000,6338.1400000,6338.1300000,6338.1400000,2
GDAX.BTC-USD,1,02/11/18,01:36,6338.1400000,6338.5000000,6338.1300000,6338.5000000,1
GDAX.BTC-USD,1,02/11/18,01:37,6338.5000000,6338.5000000,6338.4900000,6338.5000000,2
GDAX.BTC-USD,1,02/11/18,01:38,6338.4900000,6338.5000000,6338.1300000,6338.1300000,2
GDAX.BTC-USD,1,02/11/18,01:39,6338.1400000,6338.1400000,6338.1300000,6338.1400000,1
GDAX.BTC-USD,1,02/11/18,01:40,6338.1400000,6338.1400000,6338.1300000,6338.1300000,4
GDAX.BTC-USD,1,02/11/18,01:41,6338.1400000,6338.1400000,6338.0000000,6338.0000000,1
GDAX.BTC-USD,1,02/11/18,01:42,6338.0100000,6338.0100000,6335.1900000,6335.2000000,3
GDAX.BTC-USD,1,02/11/18,01:43,6335.1900000,6335.2000000,6335.1900000,6335.2000000,3
GDAX.BTC-USD,1,02/11/18,01:44,6335.1900000,6338.2000000,6335.1900000,6338.2000000,4
GDAX.BTC-USD,1,02/11/18,01:45,6338.2000000,6338.9500000,6338.2000000,6338.9500000,7
GDAX.BTC-USD,1,02/11/18,01:46,6338.9600000,6339.9000000,6338.9600000,6339.9000000,2
GDAX.BTC-USD,1,02/11/18,01:47,6339.9000000,6339.9000000,6339.8900000,6339.9000000,3
GDAX.BTC-USD,1,02/11/18,01:48,6339.9000000,6339.9000000,6339.8900000,6339.9000000,1
GDAX.BTC-USD,1,02/11/18,01:49,6339.9000000,6339.9900000,6339.8900000,6339.9900000,3
GDAX.BTC-USD,1,02/11/18,01:50,6339.9900000,6339.9900000,6339.9700000,6339.9800000,1
GDAX.BTC-USD,1,02/11/18,01:51,6339.9800000,6339.9800000,6338.5000000,6339.0700000,5
GDAX.BTC-USD,1,02/11/18,01:52,6339.0800000,6339.0800000,6339.0700000,6339.0800000,0
GDAX.BTC-USD,1,02/11/18,01:53,6339.0700000,6339.0800000,6339.0700000,6339.0800000,3
GDAX.BTC-USD,1,02/11/18,01:54,6339.0800000,6339.0800000,6339.0700000,6339.0700000,1
GDAX.BTC-USD,1,02/11/18,01:55,6339.0100000,6339.0100000,6338.7900000,6338.8000000,1
GDAX.BTC-USD,1,02/11/18,01:56,6338.7900000,6338.8000000,6338.7900000,6338.8000000,3
GDAX.BTC-USD,1,02/11/18,01:57,6339.0800000,6339.7500000,6339.0700000,6339.7500000,2
GDAX.BTC-USD,1,02/11/18,01:58,6339.7400000,6339.7500000,6339.7400000,6339.7500000,1
GDAX.BTC-USD,1,02/11/18,01:59,6339.7500000,6339.9500000,6339.7400000,6339.9400000,2
GDAX.BTC-USD,1,02/11/18,02:00,6339.9400000,6339.9400000,6339.7400000,6339.7500000,2
GDAX.BTC-USD,1,02/11/18,02:01,6339.7500000,6339.7500000,6339.7400000,6339.7500000,5
GDAX.BTC-USD,1,02/11/18,02:02,6339.7400000,6339.7500000,6339.7400000,6339.7500000,2
GDAX.BTC-USD,1,02/11/18,02:03,6339.7500000,6339.7500000,6339.6500000,6339.6600000,7
GDAX.BTC-USD,1,02/11/18,02:04,6339.6600000,6339.9400000,6339.6500000,6339.6600000,1
GDAX.BTC-USD,1,02/11/18,02:05,6339.6600000,6339.6600000,6339.6500000,6339.6500000,1
GDAX.BTC-USD,1,02/11/18,02:06,6339.6600000,6339.6600000,6339.6500000,6339.6600000,2
GDAX.BTC-USD,1,02/11/18,02:07,6339.6600000,6339.6600000,6338.1000000,6338.1000000,3
GDAX.BTC-USD,1,02/11/18,02:08,6338.1000000,6338.1000000,6337.9700000,6337.9800000,1
GDAX.BTC-USD,1,02/11/18,02:09,6337.9800000,6340.0000000,6337.9700000,6339.9900000,93
GDAX.BTC-USD,1,02/11/18,02:10,6340.0000000,6340.0000000,6339.9900000,6340.0000000,1
GDAX.BTC-USD,1,02/11/18,02:11,6340.0000000,6340.1800000,6339.9900000,6340.1800000,1
GDAX.BTC-USD,1,02/11/18,02:12,6340.1800000,6341.7000000,6340.1700000,6341.7000000,2
GDAX.BTC-USD,1,02/11/18,02:13,6341.7000000,6342.8900000,6341.7000000,6342.6900000,3
GDAX.BTC-USD,1,02/11/18,02:14,6342.6900000,6344.7100000,6342.6900000,6344.7100000,5
GDAX.BTC-USD,1,02/11/18,02:15,6344.7100000,6344.7100000,6342.9300000,6342.9400000,13
